quiz,midterm exam,sleeping time,breakfast,transportation means,last exam
79.1,92.3,6.9,1,0,92.8
58,77.7,6.9,1,0,75.9
85.3,73.1,6.3,0,1,74.8
79.7,76.6,4,1,0,78.1
77.6,87,9.3,0,2,81.5
84.8,96.9,6.3,0,1,90
91.7,72.5,7,1,1,82.2
85.1,81.2,5.8,1,0,79.9
56.6,84.1,8.7,1,2,72.2
62.2,68.1,7.7,1,0,70.2
68.8,80.2,6.5,1,0,75.1
75.3,62.4,7,1,0,72.4
80.2,58.8,9.5,1,1,81.2
67.7,84.4,7.4,1,0,86.1
76.9,75.4,7.3,1,2,72.5
67.4,82.4,6.4,1,2,77.5
68.9,79.8,5.2,1,1,72.5
60.9,68.3,7.3,1,2,68.3
65.8,79.5,7.9,1,0,73.9
61.5,65.2,8.8,1,0,74.9
65.2,96.7,4.8,1,0,73.4
85.5,63.7,6.1,1,2,73.9
65.5,77.7,6.8,1,2,72.6
100,67.5,7.5,1,2,83.6
79.9,86.8,7.3,1,0,84.2
76.8,76,7.4,1,2,78.5
66.4,73.8,8,1,2,74.2
82,90.2,6.4,1,1,85.1
69.2,80.4,8.6,1,2,80.1
76.2,86.2,8,0,0,82.7
100,68.2,7.1,0,0,85.1
74,63.1,9.4,1,0,78.3
86.5,81.3,9.4,1,2,87.5
68,76.2,8.6,1,2,77.6
74.7,87.5,4,0,0,73.7
92.7,79,9.4,1,0,88.8
68.7,82.5,8.5,1,0,83.2
93.1,60.5,9.9,1,1,88.8
82.1,100,9,1,0,96.7
69.4,78,9.4,1,0,83.7
81.3,88.4,8.6,1,0,89.9
84.7,70,9.1,0,0,84.3
81.2,83.7,9.9,1,2,86.2
59.3,64.4,7.8,1,1,67.6
67.7,85.4,5.6,1,0,80.8
72.5,75.7,7.1,0,2,70
74.3,80.4,8,1,0,85.4
81.2,88.4,7.6,1,1,90.3
76.8,65.2,6,1,0,75.5
61.6,71.8,5.5,1,0,65.7
78.8,85.5,6.6,0,2,77
81.1,100,8.5,1,0,93.8
80.6,78.3,9.4,1,0,85.9
85.8,87.1,8.6,1,2,87.8
83.3,78.7,8.8,1,2,85.7
79.6,100,7.4,1,0,90.3
74.3,59,5.4,1,2,64.6
58.4,81.1,7,1,2,70
79.3,60.5,7.2,0,2,71.8
77.1,49.9,6.9,1,2,64.8
77.7,83.6,7.6,0,2,73.9
62.2,81.7,8,0,0,70.9
64.2,76.6,8.5,1,0,79.4
85.5,78.7,7.2,1,0,82.8
74.6,100,5.2,1,0,87.3
81.8,76.9,6.9,0,2,71.3
75.3,86.1,7.6,1,0,83.1
75.3,72.2,9,1,0,77.9
84.4,83.5,6.8,0,0,84.1
69.8,77.1,8.1,1,0,82
76,75.1,7.8,1,2,78.1
70.4,100,7.6,0,0,82
70.7,94.1,8.6,1,2,81.9
71.9,81.6,6.7,1,0,80.5
77.2,52.3,6.8,1,1,64.4
70.2,75.7,7.5,0,1,73.6
87.6,100,6.7,1,2,94
66.1,77.2,8.1,1,1,77
73.1,93.2,6.6,1,2,76.4
70.6,97.3,7.8,0,1,81.9
89.5,82.6,7.4,1,1,85.7
77,69.9,7.8,1,1,84.7
85.3,50.8,6.9,0,2,71.3
60.1,88.2,7.1,1,2,76.7
77.7,70.2,7.6,1,2,74.4
83.9,82.1,7.7,0,0,87.5
75.8,65,7.5,1,0,72.9
85.7,76.8,9.5,1,1,91.3
69.8,80.4,6.3,0,0,77.5
89.1,83.2,7.4,1,2,84.3
98,66.6,5.6,1,0,85.5
71.4,94.4,7.9,0,0,82.8
70.5,72.8,6.2,1,1,69.9
89.5,59.9,7.2,1,1,81
90.8,78.7,7.1,1,2,82.6
69.8,80.4,7.8,1,0,82.6
70.8,81.9,6.8,1,0,85.2
72.2,96.3,6.8,1,0,83.8
61.6,77.2,9.2,1,0,78.5
65.8,78.6,7.8,1,0,83.1
65,66.8,6.8,1,2,69.3
67.3,89.8,7.2,1,0,80.2
74.7,82.2,9.5,1,2,79.8
77.3,75,7.2,1,0,78.8
90.5,57.1,6.7,0,0,72.2
65,97.3,6.7,1,0,84
84.8,65.3,6.8,1,1,78
72.9,72.9,6.8,1,2,73.7
74.5,84.3,6,1,0,77.9
81.7,65.6,6.2,0,2,69
63.8,62.1,6.5,1,1,61.2
78.8,54.5,8.2,1,2,71.2
76.7,88.7,7,1,2,84.7
79.9,73.5,7.3,0,0,73.6
77.9,100,9,1,2,91.7
99.6,68.1,9.1,1,2,84.3
68.6,68.9,7.2,0,2,69.8
69.7,73.2,6.7,1,1,75.1
68.8,82.9,6.5,1,0,79.8
69.4,74.4,8.3,1,0,79.4
68.6,87.3,7.3,1,1,84.9
86.9,68.3,7,1,2,78.2
89.2,63.4,6.5,1,0,77
69.3,58.4,6.6,0,0,66.5
66.7,53.3,7.9,0,1,63.7
79.7,73.8,5.9,0,0,75.7
69.5,76.4,8.7,0,0,76.5
81.3,72.4,6.9,1,0,78.2
77,94.9,7.3,1,1,88
59.8,94.7,5.9,0,1,74.8
90.5,76,7.5,0,2,82.7
93,58.5,7.1,1,2,74.5
68.9,73.2,7.4,0,0,67.8
71.1,72.8,9.3,1,0,80
77.9,72.1,7.7,0,1,71.5
78.3,71.6,6.5,1,0,79.3
81.6,72.2,6.6,1,0,74.8
95.1,75.4,8.2,1,2,82.6
73.2,72.4,9.1,1,0,80.3
67,82.5,7.8,1,2,81.1
61.2,84.3,8.3,0,2,69.6
67.7,69.1,8.2,1,2,72.2
74.7,95.3,9.2,1,0,93.1
92.9,68.2,5.2,1,0,84.2
69.8,60.6,8.3,1,2,72.1
77.2,84.6,8.7,1,1,89.4
74.8,70.2,5.9,1,0,77.4
86.9,83.9,6.4,1,1,81.5
100,51.2,6.5,1,2,75.5
69.7,96.7,6.6,0,1,83.4
70.1,88.1,6.9,1,0,79.2
85.4,62,7.8,1,0,77.8
81.8,62.3,8.5,0,0,74.3
93.5,100,8.8,0,0,99.3
80.8,71.2,6.5,0,1,74.6
71.4,70,6.5,1,0,73.6
80.9,52.8,9.1,1,2,68.8
86.1,75.8,8.3,0,0,83.1
83.2,77.3,7.6,1,2,78.7
80.1,88.6,8.1,1,0,89.3
85.7,63.2,7.5,1,0,76.1
86.7,61.8,8.1,0,0,78.2
88.8,85.4,7.1,1,2,83.6
81.5,92.1,7.8,1,0,86.3
73.3,61.1,5.7,1,0,66.2
76.5,93,6.7,1,0,82.6
87.1,80.5,6.7,1,1,83.8
66.8,93.1,7.1,1,2,79.4
78.7,79.2,6.4,0,2,74.7
71.1,49.7,6.9,0,2,61
75.3,78.2,5.7,1,0,75.5
87.8,92.7,8.2,0,2,89.7
76.9,69.3,7.4,0,0,73.9
75.5,75.3,5.5,1,0,77.6
61.4,77.9,6.5,0,2,66.2
82.5,45.2,7.9,1,2,69
81.5,100,6.8,1,0,90.6
96.6,69.2,6.7,1,0,85.8
71.9,86.1,7.4,0,2,76
77.2,79,7.9,0,2,78.7
77.5,95.1,5.8,0,0,80.1
90.8,84.9,8.2,0,0,83.3
74,77.2,6.5,0,1,71.7
77.8,69.3,7.5,1,2,78
81.1,89.6,7.5,1,1,86.7
76.9,57.5,6.9,1,0,72.8
70.5,87.8,6.3,1,0,77.7
76.9,66.8,7.2,1,0,77
85.7,95,9.5,1,2,89.1
64.7,81.9,5.9,0,0,69.8
76.3,87.7,9.5,1,0,88.5
68,81,7.2,1,0,80.3
87,59,7.5,0,2,73.1
59.8,69.7,6.2,1,0,70.9
69.4,88.1,6.6,1,2,72.4
78.8,82,6.9,0,1,79.1
90.7,94.2,6.2,1,2,86.8
74.3,84.8,7.2,1,0,78.6
69.4,68.4,7,1,1,73.2
93.8,70.4,9.7,1,0,89.4
60.5,81.2,6.1,1,0,75.4
53,52.2,7.6,1,1,61.6
79.4,100,7.8,0,0,87.7
70,85.3,6.2,1,2,78.3
64.8,94.7,8.3,1,0,78.8
82.1,61,7,0,2,69.1
77.4,94.9,4.5,1,2,73.7
69.4,100,8.3,1,0,86.6
62.2,64.1,6.2,0,2,62.4
83.7,89.3,6.2,1,2,78.9
81.5,80,8.3,0,0,79
74,61.5,7.1,1,0,80.5
93.5,85.9,8.6,1,0,89.9
64.3,90,9,0,1,85.6
59.7,72.8,6.7,1,2,66.9
68.1,94,8.5,1,1,84.2
74.5,60,6.6,1,0,73.7
77.4,62.1,10,0,0,81.8
72.6,81.6,6.7,0,0,73.6
78.5,80.3,8.7,1,0,84.5
62.5,71.4,8.5,1,2,74.1
89.4,89.7,7.9,1,1,92.3
74.2,86.4,6.7,1,0,85.9
86.2,90.3,7.3,1,1,90.8
78.4,78.5,4.9,0,0,80
79.6,87.2,7.8,0,1,83.8
80.7,74.7,7.9,1,0,83.6
79.5,100,7.7,1,1,92.1
81.4,70.2,4,1,0,73.2
88.3,100,6,1,1,93.8
77,80.4,6.6,1,0,81.9
82.1,63.5,7.8,1,0,81.3
74.1,96.4,7.8,0,0,88.7
89.4,81.5,7.3,1,0,89.2
68.2,90.2,8.3,1,2,82.4
93,94.7,6.3,1,1,88.6
74.6,84.1,8.2,1,2,79.3
60.7,72.9,8.1,1,2,73.1
76.3,91.7,8,1,0,92.4
68.2,80,7.3,0,2,66
83.4,88.2,9.7,1,0,91.3
68.5,54.2,8.1,1,1,69.3
70.5,85.4,6.3,0,0,74.4
56.1,72.3,7.8,0,2,62.5
70.5,99.8,8.4,1,0,91.4
50.8,87.5,6.8,0,0,75.6
59.2,82.9,8.8,1,0,73.3
82.6,85.8,8,1,0,87.8
82.9,68,4.7,1,0,76.1
79.3,99.5,7.9,1,0,94.6
65.3,100,7,1,1,85.1
74.5,84.7,8.1,1,0,90.3
75,99.1,8.6,1,1,91
63.4,73.2,7.7,1,0,79
90,70.4,9.5,0,0,83.2
83.8,80.5,7.3,0,2,78.5
72.8,85.2,8.2,0,2,74.1
75.3,75.3,8.5,1,0,84.9
77.1,86.5,7.4,1,2,80.8
54.6,83.7,8.4,1,0,78.2
72.5,68,6.8,1,2,69.9
68.2,86.2,7,1,2,78.5
65,90.4,5.9,1,0,80.2
72.2,82.1,7.8,1,1,78.3
93,93.8,7.9,1,2,88.7
81.4,65.4,8.9,1,0,81.5
69.3,85.6,8.4,0,1,81.8
80.7,66,7.2,1,1,82.6
89,66.6,6.1,1,2,76.3
84.2,72.4,8,1,0,86.7
75.6,68.7,8.8,0,1,71.5
68.5,73.4,8.4,1,0,84.6
82,77.4,8.8,1,0,88.2
78.9,90,7.2,1,0,86.9
84,76.1,6.9,0,2,75.4
81.4,61,6.6,1,1,70.8
85.5,93.7,7.4,1,2,85.1
69.6,70,7.4,0,1,77.4
88.2,79.3,7.7,1,0,84.5
77,85.4,7.3,0,0,78.6
95.8,82.4,7.3,1,2,84.8
68.1,93.1,6.6,1,1,78
92.4,85.7,8.6,1,2,89.5
77,69.7,7.6,1,0,82.1
68.5,100,7.3,1,0,85.1
70.2,82.3,6.6,0,0,72.1
71.8,78.2,5.9,1,0,77.7
79.2,91.6,9.1,0,0,88.3
80.2,83,8.2,1,1,88.6
69.3,84.8,5.6,0,2,69.4
74.8,100,8.4,0,2,84
96.4,76.7,8.6,1,0,91
92.3,76.2,7.6,1,0,88
79.4,81.4,9.4,1,2,83
75.4,92.9,7.8,1,1,85.2
76.2,61.9,5.8,1,2,62.3
81.1,56.4,7.9,1,1,73.2
64.8,73,7.8,0,1,73.8
72.4,60.4,6.8,1,0,74.2
58.3,74.9,8.2,1,0,73.2
79,86,5.5,1,2,81.9
81.5,69.3,8.7,1,0,82.6
70.2,62.9,6.4,1,0,67.1
90.7,80.8,6.3,1,0,81.3
62.7,90.4,7.4,0,0,81.6
60.4,59.7,8,0,1,63.9
77.2,89.8,7.7,0,0,80.6
85.5,89.8,6.6,0,0,78.6
91.8,91.4,6.9,1,2,86.9
70.4,94.6,6.1,0,2,77.5
85.8,100,7.2,1,2,87.7
74.6,75.7,8.8,1,1,78.6
73.3,81.3,7.5,0,2,73.2
83.8,75,8.5,1,2,85.3
81.5,80,9.2,1,0,83.9
59.2,98.4,6.8,0,0,76.7
89.8,63.9,7.3,1,2,80.6
88.8,69.7,10,0,1,85.9
68.7,96.5,9.2,0,1,86.1
79,92.2,5.5,1,2,78.5
79.9,75.6,8,1,2,79.3
77.6,90.3,7.5,0,0,82.5
69.5,84.1,8.5,0,0,77.8
68.3,98,6.6,1,0,81.5
74.7,80.9,6.5,1,0,82.6
86.7,92.3,6.7,0,0,86.8
80.4,100,6.8,1,0,91.7
71.3,87.2,8.5,1,2,81.8
82.7,80.6,6.1,0,2,76.8
46.5,88.7,6.8,1,2,67.8
86.5,75.6,5.4,1,0,79.1
57.6,100,8.7,1,0,83
71.4,82.2,9,1,1,79.2
63.8,76.7,7.1,1,0,72.1
62.1,70,7.1,0,1,67
86.6,93.2,8,0,0,85.2
70.3,90.4,9.3,1,2,79.7
78.5,74,8,1,0,85.1
74.5,86.9,6.7,1,0,83.6
79.8,61.9,5.6,1,0,71.4
75.8,82.2,6.2,1,2,83.3
62.2,85.4,7.6,1,0,74.3
85,100,6.7,1,2,91.3
70.1,70.8,7.7,1,0,76.5
59.4,64.7,6.8,0,0,67.7
70.7,69.3,6.2,1,1,72.8
90,64,6.1,1,1,72.1
83.5,96,9.4,1,2,91.9
71.5,98.6,8.6,1,0,91.2
71.5,83.8,9.6,0,0,76.7
71.8,94.7,8.1,1,1,92.7
95.8,81.6,7,1,0,90.9
78.8,78.9,9.1,1,1,87.3
79.3,76,7.5,1,0,78.5
85.3,76.3,7.8,0,1,83.2
77.4,61.4,7.4,1,0,78.7
72.4,83.2,4,1,0,76
73,79.5,9.4,1,2,80.8
74.3,88.9,8.1,1,1,82.8
74.6,81.1,7.9,1,1,81.4
82.3,78,7.4,0,2,75.4
75.5,69.5,7.7,1,2,76.1
82.3,80.9,6.8,0,2,74.3
74.2,88.9,8.2,1,2,84.4
75.8,66.3,5.9,0,1,67.2
55,81,7.7,0,0,71.1
84.2,82.8,8.2,1,2,86
78.5,71.4,7.3,1,2,73.4
85,72.9,7.9,1,2,82
46,82.8,6.3,1,1,69.8
95.9,66.4,6.3,1,0,81.8
73.6,84.2,7.8,1,0,87.2
86.1,69.3,8.3,1,0,84
64.6,92.8,5.3,1,0,81.7
81.1,100,8.1,1,0,99.1
64.5,69.7,6.8,1,1,70.6
68.8,86.4,7.3,1,2,79.5
94.1,71.3,5.9,0,1,77
73.1,92.5,6.5,1,0,81.1
77.2,64.8,8.7,0,1,74.5
83.7,85.8,7.5,1,2,79.8
80,69.5,7,0,0,73.1
76.5,77.5,7.4,1,2,79.1
78.6,67.6,8.1,0,1,74.1
99,89.9,8,1,0,98.7
74.4,70,7.4,1,2,74.5
77,86.6,8.8,1,1,92.6
85.5,75.9,8.7,1,0,88.5
86.1,78.6,8,1,2,86.2
86.9,81.8,7.6,1,0,88.8
81.4,70.9,8.3,1,0,83.4
63.6,82.5,7.9,1,2,78.7
91.3,98.4,8.8,1,0,100
63.5,70.7,8.6,1,2,72.5
78,94.1,6.3,1,0,87
67.5,98,6.2,1,0,85.2
74.4,70.2,6.7,0,2,67.1
78.3,62.5,8.7,1,0,76.5
78.2,83.6,5.6,1,0,85.2
79.2,73.4,8,1,1,86.6
91.1,100,7.9,1,1,93.5
79.5,80.4,8.9,1,1,83.8
72.6,70.4,7.7,1,2,77
84.6,66.2,5.9,0,1,74.7
86.9,93.1,6.3,1,1,90.7
62.7,73.1,6.1,0,0,71.2
81,80.5,6.9,0,0,79.6
82,91.5,7.3,1,0,89.9
72,74.2,6.1,1,0,76.4
88.8,79.4,9.3,0,1,84.2
73.5,79.8,5.9,1,2,75.1
76.3,88.2,9.1,1,2,88.7
73.3,87.1,8.9,0,0,83
75.2,77.4,8.6,0,0,80.6
64,80.8,6.7,0,0,73.9
60.6,75.5,7.9,0,1,70.4
90.9,62.3,6,1,0,80.3
66.5,83.1,8.6,1,1,79
65.1,100,7.4,1,0,89.9
53.5,69.4,7,0,2,63
68.6,70.7,6,1,2,66
61.8,69.6,4.5,1,1,70.7
91.4,88.7,6.3,1,0,90.1
85.1,85.4,8.8,1,0,88.7
68.1,78.1,7,1,0,80.8
97.5,69,7.3,0,1,83.7
84.8,81.1,8.3,1,0,82.6
71.8,61.2,9.7,1,0,75.9
50,81.7,9.1,0,2,69.7
97.9,90.5,6.3,0,2,79.5
61.1,65,5.2,0,1,62
58.5,61.6,10,1,1,72.5
85.2,99,10,0,2,88.1
99.4,72.7,7.7,0,1,86.1
88.8,93.6,6,1,2,86
80.6,78.2,8.7,1,0,82.3
80.9,78.1,7.4,0,1,82.1
83.5,85.3,7.4,1,2,85.8
82.6,69.4,8.6,1,0,82.1
77.8,81.6,7.9,1,2,80
76,75.4,6.1,1,0,79.9
74.4,64.2,7.1,1,0,74
67.5,84,8.3,1,2,72.4
72.2,76.8,8.1,0,1,78.3
58.1,78.1,7.8,1,2,68.7
74,65.5,8.6,1,0,76.9
65.1,99.1,7.1,1,1,88.2
64,90.5,7.7,1,0,81.8
76.8,91.6,4,1,0,80.4
88.9,76.3,7,0,0,83.6
84.2,59.2,8.4,0,0,77.7
59.3,100,7,0,0,77
65.1,79.3,6.9,1,2,72.4
84.4,71,6.3,0,1,75.8
65.2,85,8.7,1,1,82.3
72.8,94,8.2,0,1,84.9
80.5,79.7,8.5,1,0,93.8
65.3,95.3,5.4,0,2,69.6
76.1,93,7.3,1,1,89.2
61.7,67.1,7.2,1,0,74.4
69,71.9,7.2,1,2,73.2
78.2,91.5,6.8,1,0,84.4
59.1,47.4,7.1,1,0,66.8
79.4,78.2,8.5,0,2,71.5
74.8,62.8,5.2,0,2,61.4
80.5,74.3,9.6,0,2,82.7
77.2,76.4,8.1,1,0,81.5
88.6,75.7,7.4,0,2,83.4
76.3,73.4,8.6,0,1,73.5
70.7,66.8,5.8,1,1,67.2
76.2,100,6.7,1,0,87.3
80.4,100,7.4,1,0,93.1
75.5,66.1,9.1,1,2,75.2
75.4,99,7.4,1,0,88.2
68,75.2,8,1,0,82.6
68.4,81.6,6.8,0,0,80.1
61,79.2,8.1,1,1,75
92.5,72.1,9.5,1,2,80.7
62.6,91.8,8.7,0,0,74.7
68.1,81.5,7.4,1,0,80.4
67.8,74.3,8.3,1,2,76.4
83.9,64.3,8.2,0,0,77.9
72.1,69.3,8.1,1,2,73.5
87.5,60.3,8.8,0,0,76.4
68.3,80.1,8.8,1,0,84
77.8,65.6,7.3,1,0,82.1
66.6,76.8,8.3,1,2,68.3
96.5,96.4,7,0,2,89
63.1,94.4,6.4,0,0,74.9
78.1,79.6,7.2,0,0,75
81.3,79,7.4,0,0,77.5
79.1,100,5.5,1,2,84.8
73.1,86.2,8.5,1,0,87
73.7,76.1,4.2,1,0,77.6
75.4,62.9,10,1,2,76.4
73.5,84.7,9.3,1,2,77.6
84.6,90,7.2,1,0,88.5
97.1,72.4,7.5,1,0,83.7
69.4,83.5,7.9,0,1,74.3
61.3,75.6,6.8,1,1,74.1
74.1,77.8,7.7,1,0,81.8
100,50.1,7.3,1,1,80.5
67,77.3,7.4,1,2,72.4
91.4,91.6,7.7,1,1,95
91.8,72.4,5.9,0,0,78.3
69.5,80.6,7.5,0,2,76.5
80.7,70.9,7.7,1,2,78.1
91.3,84.3,7.7,1,0,89.9
71.2,77.4,7.2,1,2,75.6
73,68.7,8.9,1,0,79.4
69.2,96,7.1,1,0,90
64.9,91.1,7.8,1,0,83.7
68.5,72.7,9.1,0,1,75.6
62.8,86,7.4,0,2,71.6
75.3,86.4,7.8,0,2,80.8
67.3,87.7,7.4,1,2,79.9
77.3,59.7,9,1,0,77
59.4,92.1,7.2,0,0,73.5
78.3,73.2,9,0,2,74
83.3,75.7,7.4,1,1,81.8
55.1,100,6.5,1,0,84
78.7,83.6,8.3,1,0,85.8
87.3,75.4,7.1,1,0,82.5
62.9,53.5,8.2,0,0,59.8
91.7,96.7,4.2,1,0,93.4
79.2,63.9,7.5,0,2,71.9
67.9,68,6.9,1,0,75.6
74.4,76,6.2,1,0,80.5
80.6,97,6.8,1,2,85.2
75.8,89.3,6.8,1,1,83.9
80.4,78.1,7.4,1,0,87.7
65.8,83.7,5.9,1,2,73.1
76.7,72.8,7.9,1,0,82.3
60.9,81.7,9.1,1,1,81.9
73.9,80.9,7.8,0,2,77.5
66,91.6,8.5,1,1,83.6
67.6,91.6,8.8,1,0,86.2
87.4,85.9,9,1,2,90.6
85.9,75.7,9.7,1,2,87.4
81.1,88.9,6.9,1,0,90.3
64.1,78.9,6.6,1,0,77.1
71.8,67,8.4,1,2,75.2
87.1,75.2,8.3,0,2,78.3
76.4,81,8.4,0,0,80.1
98.2,90.9,9.8,1,2,98.5
78.9,77.8,7.5,1,0,81
76.9,65.5,8,1,0,77.9
71.9,80.7,6.3,1,2,78.8
76.3,81.4,10,1,0,91.7
73.5,82.2,7.1,1,0,82.4
82.1,91,7.1,1,0,87.6
84.6,92.2,7.1,1,2,85.5
67.1,72.9,6.7,1,0,77.1
61.7,72.6,6.6,0,1,67.9
56.6,67.5,6.9,0,0,63.7
80.1,88.4,5.9,1,2,83.8
64,97.4,6.6,1,0,83.2
53.5,76.2,9.8,0,2,67.8
78.9,77.1,8.4,0,2,78.6
99.9,97.6,8.6,1,0,100
74.9,86.1,8.9,1,0,84.2
83.4,85.2,9.7,0,0,88.2
75.8,65.7,5.4,0,0,68.6
74,88.1,6,1,0,83.3
84.2,68.9,6.5,1,2,77.2
72.1,66.4,6.9,0,2,65.6
77.7,75.8,7.1,1,0,76.2
78.2,73,7,1,0,82.5
68.3,77.3,7.8,1,0,75.4
84.9,62.7,7.5,1,0,79.9
73.3,91.5,6.6,1,2,79.8
67.4,93.5,4.9,1,2,75.7
80.4,56.6,6.3,1,0,77.4
66,91.7,6.8,0,0,87.9
75.3,70.3,7.2,1,1,71.7
74.9,90.3,6.1,1,0,86.3
85.9,79.2,6.9,1,0,84.4
79.7,80.3,6.1,0,2,77.5
74.7,77.8,7.3,1,2,79.6
83.2,94.5,6.2,0,0,89.7
88.9,65.1,6.5,1,1,79.4
80.6,87.3,5.9,0,0,78.3
75.1,93.2,7.3,1,2,85.7
61.9,88.6,6.5,1,0,78.5
64.3,100,8.6,1,2,83.2
71.9,73.7,8,0,1,73.8
68.9,91.5,7.4,1,0,87
73.1,78.7,6.5,1,2,79.6
75.6,94.8,8,1,1,84.5
80.3,79.9,8.3,0,0,84.6
74.3,75.3,7.7,0,2,72.1
79.9,95.7,9.4,1,1,88.7
75.6,74.1,8.1,1,2,77.4
55.2,63,8.6,0,0,64
65.6,73.8,7.7,1,0,71.3
73.6,87.4,8.3,1,0,83.7
62.9,96.7,6.5,0,0,75.8
81,81.3,6.9,1,2,77.9
90.3,95.8,7.9,1,0,91.3
87.2,63.7,7.9,1,0,80
72.9,74.7,8.1,1,0,78.1
89.9,76.5,8.8,1,0,90.3
76.5,78.6,5.8,0,2,73.4
71.6,81,6.3,0,2,72.5
68.9,88.3,7.8,0,0,79.7
72,74.7,6.6,1,0,76.1
71.1,81.7,10,1,0,83.6
76.7,79.5,8.1,1,0,81.3
76.6,68.9,7.4,0,0,77.1
75,78.6,6.9,1,2,71
79.4,78.3,6.9,1,0,81.7
86.9,78,7.5,1,1,84.1
84.5,80.4,7.6,1,0,88
60.2,80.9,7,1,0,71.1
49.5,74.8,7.2,1,2,65.1
84.3,95.3,9.1,0,2,89.1
61.3,66,9.2,1,2,64.5
72.8,71.3,7.8,1,1,74
63.3,100,5.9,1,0,81.8
57,67.5,8.1,0,1,68.6
80.4,63.8,9.4,1,0,81.9
82.6,88.8,9.1,0,1,89.5
69.2,55.1,8.4,1,0,68.2
49.1,77.2,9.2,1,0,69.2
69.5,100,7.6,1,2,84.2
78.9,61.5,8.3,0,0,71
60.2,56.2,6.7,1,0,62.3
76.8,62,7.9,1,0,79
74.8,90.8,9.1,0,2,83
80.8,93.5,6.8,1,1,85.6
76.2,73.8,6.5,0,2,68.9
65.3,88.2,7.6,1,1,82.5
87,96.7,7.2,1,2,89.6
73.4,100,8.3,1,0,87.3
74.7,77,7,1,0,73.8
65.7,52.4,9.6,1,2,73
70.6,70.1,6,1,0,69.5
66.2,74.9,9,0,0,78
73.3,76.9,6.6,1,0,82.8
92.1,77.7,5.3,1,2,80.1
61.3,93.4,7.8,1,0,80.7
58.9,95.3,7.2,1,1,75.8
89.7,77.9,6.2,0,2,73.1
72.9,93.2,5.5,1,2,79.5
68.3,84.3,7.5,1,1,84.4
85.4,80.8,8.7,1,0,87.6
68.9,90.9,8.2,0,2,76.7
93.3,80.9,7.6,1,1,90.9
81.8,100,8.1,0,2,84.8
70.1,62.7,7.5,1,2,69.9
96.6,73.8,5.8,1,0,84.9
68.9,78.5,5.8,1,2,70.3
82.4,85.3,7.3,1,0,86.5
78,95.2,7.3,1,1,93.2
88,79.7,8.5,1,1,89.9
90.6,62.9,8.4,1,1,85.5
75.3,90.1,8.2,1,2,80.9
67.5,89.1,7.2,1,0,85.2
79.6,56.7,5.8,1,0,73.1
68.2,80,8,1,1,74.8
95.1,60.9,8.1,0,0,82.3
76.4,72,4.6,1,0,72.1
71.3,69.2,6.5,1,2,65.6
76.8,89.7,6.7,0,0,82.4
61.5,81.4,7.6,1,2,75.1
65.3,64.6,6.5,1,0,70.5
87,90.6,7.5,1,2,86.6
68.4,62.8,7.2,0,1,67
64.5,84,7.3,1,0,86.4
80.4,70.2,6.6,0,0,72
86.9,75.6,6.7,0,0,83.1
82.2,86.1,6.2,1,1,83.7
85,86.3,8,0,0,83.8
67.4,96,8.2,1,0,86.6
60.8,79,6.6,0,2,62.9
90,83.7,9.3,1,0,91.3
71.8,74.7,7.1,1,1,76.7
72.5,82.2,9.3,1,1,79.9
88.3,85.3,6.7,1,2,85.4
80.6,78.8,5.1,1,2,72
79.6,58.4,8,1,0,71.8
96.7,84,7.8,1,2,85.6
68.6,84.4,7.5,1,2,83.8
84.3,71.8,6.7,1,0,75
75.6,64.6,7.5,1,0,77.3
77.7,97.7,6.9,1,1,85.7
90.3,85.9,7.1,1,0,88.7
80.1,77.3,8.5,1,2,82.8
80.4,66.4,7.7,0,0,77.8
85.7,70.1,8.2,1,0,81.8
71.4,95.6,7.2,1,1,81.2
66.6,81.7,7.1,1,0,80.3
64.6,73.4,6.1,1,2,70.1
55.3,86.1,7.1,0,0,71.8
95.6,70.2,4,1,0,80.6
64,98,6.8,1,1,81
72.8,96.2,7.4,1,2,80.9
72.2,74.4,8.2,1,1,79
78.1,72.5,7.2,1,1,80.1
83.2,48.6,7.9,1,1,73.5
83.6,62.2,4.9,1,1,73.6
69.2,63.9,7.4,1,0,70.8
73.3,81.6,5.5,1,1,81.7
77.8,76.1,6.1,1,0,77.6
72.5,63.9,7.3,1,0,73.7
91.1,76.6,9,0,0,83.2
79.9,86.1,7.9,0,0,83.7
82.3,86.3,7.5,0,2,82.1
81.6,57.2,7.5,1,0,77.8
86.7,78.5,6.6,1,0,89.1
76.8,63.4,6.8,1,0,76.3
62,90.8,8,1,0,83
79,89.4,5.8,1,2,78.7
68.5,69.2,8.2,1,0,74.5
69.7,70.8,7,0,0,75.2
80.9,74.5,8.5,1,0,87
87.4,53,8.7,0,0,72.2
75.2,84,5.5,0,2,74.9
78.1,76.7,6.8,0,0,79.5
92,91.6,6.5,0,0,85.1
77.4,66.8,5.3,0,0,72
100,72.6,6.3,1,0,83.4
80.7,61.9,10,0,1,70.7
57.4,67.9,8.2,1,0,71.1
82.5,65.8,9.8,0,1,80.7
78.8,92,8.5,0,2,82.9
87.9,71.6,6.6,1,0,90.6
81.7,81.5,7,1,1,84.5
73.6,75.4,8.2,1,2,77.5
62.8,64.8,8,1,2,69.3
72.9,78,6.8,1,0,77.6
66.5,87.2,5.7,1,2,76.6
69.2,65.5,10,1,0,80
